ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District,Gnome,Flamingo
11763825,JC355926,07/19/2019 12:59:00 PM,049XX S KOMENSKY AVE,820,THEFT,$500 AND UNDER,RESIDENCE,815,8,False,False
11770772,JC364434,07/17/2019 07:23:00 PM,013XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,1433,14,False,False
11767171,JC359177,07/18/2019 10:10:00 PM,025XX W LYNDALE ST,820,THEFT,$500 AND UNDER,STREET,1431,14,False,False
11762663,JC354197,07/18/2019 02:15:00 PM,014XX W GARFIELD BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,713,7,False,False
11762646,JC354048,07/18/2019 12:14:00 PM,081XX S KENWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,411,4,False,False
11763819,JC355386,07/18/2019 10:05:00 PM,020XX S Calumet Ave,810,THEFT,OVER $500,APARTMENT,132,1,False,False
11768440,JC360639,05/22/2019 01:25:00 PM,001XX E ILLINOIS ST,810,THEFT,OVER $500,RESIDENCE,1834,18,False,False
11760499,JC352109,07/17/2019 12:02:00 AM,0000X W IDA B WELLS DR,860,THEFT,RETAIL THEFT,GAS STATION,111,1,False,False
11768414,JC361541,07/16/2019 09:00:00 AM,009XX N LATROBE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,1524,15,False,False
11761106,JC352779,07/17/2019 02:30:00 PM,001XX W IDA B WELLS DR,810,THEFT,OVER $500,CTA PLATFORM,121,1,False,False
11762658,JC354454,07/17/2019 10:00:00 PM,012XX W SUNNYSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,1913,19,False,False
11763833,JC355911,07/15/2019 12:40:00 AM,019XX N LINCOLN AVE,890,THEFT,FROM BUILDING,APARTMENT,1814,18,False,False
11758295,JC349509,07/15/2019 10:17:00 AM,009XX W EASTMAN ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,1822,18,False,False
11761501,JC352392,07/15/2019 09:00:00 PM,010XX W IRVING PARK RD,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1915,19,False,False
11761587,JC351552,07/15/2019 04:20:00 PM,009XX W EASTMAN ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,DEPARTMENT STORE,1822,18,False,False
11758966,JC349644,07/15/2019 12:00:00 AM,017XX N LAWNDALE AVE,810,THEFT,OVER $500,RESIDENCE,2535,25,False,False
11765960,JC358658,04/10/2019 11:20:00 AM,011XX N MILWAUKEE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1213,12,False,False
11760252,JC350815,07/15/2019 10:20:00 AM,011XX S DELANO CT W,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,123,1,False,False
11760251,JC351277,07/15/2019 01:39:00 PM,008XX N MICHIGAN AVE,810,THEFT,OVER $500,SIDEWALK,1833,18,False,False
11758979,JC349416,07/13/2019 11:45:00 PM,017XX E 56th St,810,THEFT,OVER $500,TAXICAB,235,2,False,False
11758982,JC350054,07/13/2019 08:00:00 AM,052XX S GREENWOOD AVE,820,THEFT,$500 AND UNDER,APARTMENT,233,2,False,False
11756618,JC347283,07/13/2019 02:30:00 PM,0000X E MONROE ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,112,1,False,False
11760262,JC350847,07/13/2019 03:20:00 PM,0000X E MONROE ST,880,THEFT,PURSE-SNATCHING,HOTEL/MOTEL,112,1,False,False
11762652,JC353963,07/13/2019 07:45:00 PM,016XX W FARWELL AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,2431,24,False,False
11758976,JC350297,07/12/2019 04:00:00 PM,004XX E 34TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,211,2,False,False
11754336,JC344004,07/10/2019 06:30:00 PM,004XX W DICKENS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,1812,18,False,False
11753205,JC342600,07/10/2019 11:10:00 AM,054XX S HYDE PARK BLVD,820,THEFT,$500 AND UNDER,APARTMENT,234,2,False,False
11760843,JC352430,07/03/2019 10:00:00 AM,0000X W IDA B WELLS DR,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,121,1,False,False
11758991,JC349529,06/18/2019 07:30:00 PM,011XX N CLARK ST,820,THEFT,$500 AND UNDER,DRUG STORE,1824,18,False,False
11758988,JC349283,07/01/2019 08:10:00 PM,064XX N DAMEN AVE,820,THEFT,$500 AND UNDER,APARTMENT,2412,24,False,True
11753191,JC342596,07/09/2019 02:56:00 PM,026XX W Chicago Ave,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1211,12,False,False
11753203,JC343050,07/09/2019 04:00:00 PM,053XX S Drexel Ave,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),233,2,False,False
11751987,JC341624,07/08/2019 06:00:00 PM,034XX N ELAINE PL,810,THEFT,OVER $500,APARTMENT,1925,19,False,False
11750837,JC340417,07/08/2019 11:00:00 AM,056XX N GLENWOOD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,2013,20,False,False
11751974,JC341645,07/08/2019 06:00:00 PM,008XX N ASHLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1213,12,False,False
11751986,JC340878,07/08/2019 06:50:00 PM,023XX N Greenview Ave,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1811,18,False,False
11751967,JC341128,07/07/2019 08:00:00 PM,040XX N AVERS AVE,820,THEFT,$500 AND UNDER,STREET,1723,17,False,False
11749635,JC338567,07/06/2019 01:30:00 PM,042XX N Lincoln Ave,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1911,19,False,False
11749624,JC338851,07/06/2019 09:45:00 PM,0000X S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,112,1,False,False
11755545,JC345926,07/01/2019 12:00:00 PM,005XX W BARRY AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,1934,19,False,False
11755556,JC346098,01/11/2019 04:50:00 PM,044XX N KENNETH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,1722,17,False,False
11749614,JC338402,07/05/2019 05:30:00 PM,063XX N SACRAMENTO AVE,820,THEFT,$500 AND UNDER,ALLEY,2413,24,False,False
11747423,JC336004,07/05/2019 01:45:00 PM,015XX N CLAREMONT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,1424,14,False,False
11753182,JC342590,03/16/2019 10:30:00 PM,035XX N CLARK ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,1924,19,False,False
11753183,JC342646,05/03/2019 11:30:00 PM,011XX W Lawrence Ave,870,THEFT,POCKET-PICKING,OTHER,2033,20,False,False
11744786,JC333249,07/03/2019 03:10:00 PM,001XX W IDA B WELLS DR,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CTA TRAIN,121,1,False,False
11750803,JC339759,07/03/2019 10:40:00 AM,046XX N PAULINA ST,890,THEFT,FROM BUILDING,APARTMENT,1912,19,False,False
