ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District
11864129,JC476455,10/07/2019 04:01:00 PM,029XX W AUGUSTA BLVD,0890,THEFT,FROM BUILDING,APARTMENT,1211,012
11857904,JC469285,10/11/2019 05:50:00 PM,003XX N PEORIA,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),1214,012
11862970,JC474406,10/09/2019 02:10:00 PM,081XX S STONY ISLAND AVE,0810,THEFT,OVER $500,BARBERSHOP,0411,004
11852262,JC462051,10/06/2019 10:00:00 AM,009XX N CHRISTIANA AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,1121,011
11860808,JC472149,10/04/2019 01:25:00 AM,029XX W AUGUSTA BLVD,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,1211,012
11860810,JC472769,09/30/2019 03:02:00 PM,029XX N HALSTED ST,0820,THEFT,$500 AND UNDER,APARTMENT,1933,019
11855843,JC466458,10/08/2019 10:10:00 AM,085XX S WOOD ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,0614,006
11857923,JC468953,10/07/2019 11:37:00 AM,017XX N Halsted St,0890,THEFT,FROM BUILDING,APARTMENT,1813,018
11853561,JC463865,10/07/2019 04:27:00 PM,010XX S STATE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,0123,001
11855831,JC466076,10/07/2019 11:30:00 PM,025XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,1414,014
11854732,JC464104,10/07/2019 12:00:00 AM,014XX W BLACKHAWK ST,0810,THEFT,OVER $500,STREET,1433,014
11856821,JC466961,10/07/2019 02:00:00 PM,022XX W Addison St,0890,THEFT,FROM BUILDING,APARTMENT,1921,019
11853531,JC463826,10/07/2019 11:45:00 AM,057XX W SUPERIOR ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1511,015
11855842,JC466088,10/07/2019 01:05:00 PM,008XX W WILLOW ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1813,018
11858849,JC469889,10/03/2019 11:05:00 AM,032XX S HAMLIN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,1031,010
11853524,JC463731,10/06/2019 12:03:00 AM,015XX W CORTEZ ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1213,012
11852458,JC462353,10/06/2019 11:10:00 AM,010XX N CROSBY ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1822,018
11852129,JC462048,10/06/2019 10:40:00 AM,009XX N CHRISTIANA AVE,0460,BATTERY,SIMPLE,OTHER,1121,011
11857946,JC468961,10/05/2019 11:55:00 PM,076XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,OTHER,0624,006
11853549,JC463746,10/05/2019 12:00:00 AM,012XX W Pratt blvd,0890,THEFT,FROM BUILDING,APARTMENT,2431,024
11851392,JC461047,10/05/2019 11:30:00 AM,0000X W IDA B WELLS DR,0820,THEFT,$500 AND UNDER,GAS STATION,0111,001
11850624,JC459410,10/04/2019 06:10:00 AM,004XX S LA SALLE ST,0560,ASSAULT,SIMPLE,SIDEWALK,0122,001
11850761,JC460448,10/04/2019 10:08:00 PM,0000X W IDA B WELLS DR,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,0111,001
11854734,JC464839,10/04/2019 05:00:00 PM,0000X N PAULINA ST,0820,THEFT,$500 AND UNDER,APARTMENT,1224,012
11856819,JC467900,09/10/2019 10:30:00 AM,016XX W GREENLEAF AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,2423,024
11853509,JC463741,10/04/2019 08:45:00 AM,003XX N CLARK ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,1831,018
11850620,JC459141,10/03/2019 12:00:00 PM,008XX W LILL AVE,0890,THEFT,FROM BUILDING,APARTMENT,1935,019
11855856,JC466091,09/26/2019 12:15:00 PM,008XX W WILLOW ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1813,018
11855833,JC465670,09/22/2019 12:00:00 PM,034XX W PARKER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,1412,014
11852455,JC462404,10/02/2019 06:27:00 PM,003XX W 74TH ST,0890,THEFT,FROM BUILDING,APARTMENT,0731,007
11852452,JC462335,10/02/2019 08:00:00 PM,010XX N RUSH ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,1824,018
11854721,JC464845,09/19/2019 09:15:00 AM,003XX W HURON ST,0810,THEFT,OVER $500,OTHER,1831,018
11854718,JC465162,10/01/2019 05:15:00 PM,049XX S GREENWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,0222,002
11849560,JC457862,10/02/2019 10:05:00 PM,013XX W HASTINGS ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1233,012
11849553,JC457852,10/01/2019 11:25:00 AM,022XX N NATCHEZ AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,2512,025
11853544,JC463849,09/30/2019 08:40:00 AM,017XX W Wellington Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1931,019
11837413,JC443705,06/18/2019 08:30:00 PM,026XX N LINCOLN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,1932,019
11853548,JC463701,09/21/2019 09:25:00 PM,067XX S JEFFERY BLVD,0810,THEFT,OVER $500,GAS STATION,0332,003
11846049,JC454602,09/30/2019 05:35:00 AM,038XX N SPRINGFIELD AVE,0880,THEFT,PURSE-SNATCHING,CTA BUS STOP,1732,017
11850625,JC459375,09/30/2019 10:15:00 PM,002XX W 19TH ST,0810,THEFT,OVER $500,SIDEWALK,0914,009
11847201,JC455522,09/30/2019 02:05:00 AM,010XX N CENTRAL AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,1524,015
11846022,JC454029,09/29/2019 03:00:00 PM,002XX W 25TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0914,009
11846036,JC454638,09/29/2019 04:35:00 PM,018XX W DIVISION ST,0810,THEFT,OVER $500,RESTAURANT,1424,014
11849574,JC458953,08/01/2019 12:00:00 AM,110XX S Green Bay Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,0433,004
11843954,JC451739,09/28/2019 11:25:00 AM,071XX W DEVON AVE,0810,THEFT,OVER $500,RESIDENCE,1611,016
11847194,JC456127,09/28/2019 09:05:00 AM,086XX W SUMMERDALE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,1614,016
11846017,JC454567,09/27/2019 01:00:00 PM,002XX S MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,0113,001
11850622,JC459629,09/25/2019 06:50:00 PM,008XX W EASTMAN ST,0880,THEFT,PURSE-SNATCHING,STREET,1822,018
11848448,JC457751,09/28/2019 06:00:00 AM,065XX N TAHOMA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,1621,016
11842999,JC450629,09/26/2019 06:00:00 PM,061XX N Damen ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,2413,024
11848433,JC456667,09/18/2019 07:34:00 AM,001XX W Kinzie St,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1831,018
11848444,JC457273,09/22/2019 09:45:00 PM,005XX N WELLS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,1831,018
11841959,JC449538,09/26/2019 12:20:00 PM,009XX S INDEPENDENCE BLVD,0810,THEFT,OVER $500,OTHER,1133,011
11847214,JC456154,09/11/2019 08:00:00 AM,018XX N DAYTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1813,018
11841960,JC449541,09/25/2019 03:00:00 PM,014XX W ERIE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,1215,012
11840812,JC448147,09/25/2019 04:15:00 PM,008XX W BRADLEY PL,0890,THEFT,FROM BUILDING,APARTMENT,1923,019
11847204,JC455226,09/13/2019 12:00:00 PM,017XX N ORLEANS ST,0810,THEFT,OVER $500,APARTMENT,1814,018
11841958,JC449522,09/24/2019 08:15:00 PM,028XX N ORCHARD ST,0810,THEFT,OVER $500,APARTMENT,1934,019
11839722,JC446755,09/23/2019 02:30:00 PM,008XX W BLACKHAWK ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,1822,018
11838278,JC445310,09/23/2019 12:18:00 PM,009XX W EASTMAN ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1822,018
11838595,JC445540,09/23/2019 02:00:00 AM,008XX E 53RD ST,0820,THEFT,$500 AND UNDER,STREET,0233,002
11839715,JC446253,09/23/2019 11:30:00 PM,039XX W BARRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,2523,025
11841961,JC449090,09/22/2019 06:00:00 PM,005XX E 33RD ST,0820,THEFT,$500 AND UNDER,STREET,0211,002
11839687,JC446244,09/22/2019 12:30:00 PM,011XX W 17TH ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,1235,012
11843952,JC451703,07/24/2019 02:00:00 PM,032XX N CLIFTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,1924,019
11843001,JC450556,09/17/2019 11:23:00 AM,019XX S CHRISTIANA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,1024,010
11837445,JC443774,09/21/2019 05:45:00 PM,011XX W ARMITAGE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,1811,018
11836099,JC442567,09/21/2019 11:35:00 AM,0000X E IDA B WELLS DR,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,0111,001
11839721,JC446257,09/20/2019 02:25:00 AM,016XX N CLAREMONT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1434,014
11841967,JC449704,09/19/2019 12:30:00 PM,112XX S AVENUE L,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,0433,004
11838594,JC445505,09/20/2019 11:41:00 AM,015XX N DEARBORN PKWY,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1824,018
11840797,JC448143,09/17/2019 12:00:00 PM,0000X E GRAND AVE,0820,THEFT,$500 AND UNDER,HOTEL/MOTEL,1834,018
11835461,JC441306,09/19/2019 08:10:00 PM,011XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,0123,001
11834251,JC440212,09/19/2019 09:55:00 AM,015XX W 18th st,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,1233,012
11840789,JC447713,09/11/2019 12:09:00 PM,002XX S CANAL ST,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,OTHER RAILROAD PROP / TRAIN DEPOT,0121,001
11834224,JC440132,09/19/2019 12:51:00 PM,010XX N WOLCOTT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1212,012
11834260,JC440247,09/18/2019 12:20:00 AM,035XX N CLARK ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,1924,019
11839723,JC446882,09/09/2019 07:15:00 PM,003XX E ILLINOIS ST,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,1834,018
11834234,JC440228,09/17/2019 11:30:00 PM,012XX W ARGYLE ST,0820,THEFT,$500 AND UNDER,APARTMENT,2033,020
11838576,JC444686,09/07/2019 12:00:00 AM,023XX N LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1432,014
11834253,JC440310,09/17/2019 08:35:00 PM,016XX N RICHMOND ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1421,014
11831925,JC437468,09/17/2019 04:10:00 PM,043XX N HAZEL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1915,019
11837426,JC444139,08/28/2019 04:30:00 PM,0000X W C1 ST,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1651,016
11837430,JC443776,09/05/2019 03:30:00 PM,010XX N WOLCOTT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1212,012
11828439,JC433362,09/14/2019 04:00:00 PM,0000X W IDA B WELLS DR,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,GAS STATION,0111,001
11834236,JC440292,09/15/2019 02:00:00 PM,019XX N WOLCOTT AVE,0820,THEFT,$500 AND UNDER,APARTMENT,1434,014
11830770,JC436056,09/15/2019 12:00:00 AM,035XX W BELDEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,1413,014
11830758,JC435996,09/15/2019 01:54:00 PM,036XX W DOUGLAS BLVD,0820,THEFT,$500 AND UNDER,CTA BUS,1011,010
11829504,JC434657,09/14/2019 04:45:00 PM,002XX N Michigan Ave,0870,THEFT,POCKET-PICKING,SIDEWALK,0114,001
11830750,JC436050,09/13/2019 03:40:00 AM,032XX N LINCOLN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,1922,019
11834256,JC440113,09/04/2019 03:18:00 PM,014XX N WELLS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,1821,018
11826184,JC430624,09/12/2019 03:35:00 PM,002XX N WABASH AVE,0890,THEFT,FROM BUILDING,RESTAURANT,0111,001
11831932,JC437495,08/11/2019 12:00:00 AM,001XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0122,001
11825042,JC429072,09/11/2019 07:30:00 AM,0000X N LA SALLE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,0122,001
